# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 8.044185967797554907e-04 3.240883321265587627e-07 -1.198281706923763070e-06 3.240883321265587627e-07 -1.198281706923763070e-06 5.854761252042137652e-07 -8.357666226197069917e-10 -8.357666226197086461e-10 5.788939836692073400e-07
1.505000000000000000e+02 3.257196574678941550e-03 8.143788211111127516e-07 3.591752691919577910e-07 8.143788211111127516e-07 3.591752691919577910e-07 2.499994380416377403e-06 1.029744464108351887e-08 1.029744464108359166e-08 2.631753310214873393e-06
2.005000000000000000e+02 6.027006037626965462e-03 -1.409810421757232461e-06 -4.666163650413014497e-06 -1.409810421757232461e-06 -4.666163650413014497e-06 4.454455790179400956e-06 5.138719283493113739e-10 5.138719283493352587e-10 4.281159617401614030e-06
2.505000000000000000e+02 9.298286025441710595e-03 -6.136925491884640037e-07 1.124952841854206847e-06 -6.136925491884640037e-07 1.124952841854206847e-06 6.733681987504436486e-06 5.208736549268454455e-08 5.208736549268472323e-08 6.687058726562181157e-06
3.005000000000000000e+02 1.305959670598610262e-02 -1.422401017664879903e-06 -4.094272123650515916e-06 -1.422401017664879903e-06 -4.094272123650515916e-06 9.817456167560808177e-06 1.391508739125428450e-08 1.391508739125417365e-08 9.994417597563409644e-06
3.505000000000000000e+02 1.779191101005940870e-02 -2.084726156106940596e-06 4.564584441067825407e-06 -2.084726156106940596e-06 4.564584441067825407e-06 1.346719818311688152e-05 1.878671822287450549e-07 1.878671822287452667e-07 1.308616847880074468e-05
4.005000000000000000e+02 2.346748547322037234e-02 -2.728027391673177227e-06 -7.092925257143971381e-07 -2.728027391673177227e-06 -7.092925257143971381e-07 1.698883331902213142e-05 4.116029655501668138e-07 4.116029655501666550e-07 1.691936996741977276e-05
4.505000000000000000e+02 2.924707482381276938e-02 1.484804942902028350e-05 6.418443513451924276e-06 1.484804942902028350e-05 6.418443513451924276e-06 2.224361724668719363e-05 -2.180654358317946696e-07 -2.180654358317941931e-07 2.220228100506251996e-05
5.005000000000000000e+02 3.583777834155137121e-02 -1.908573703465256218e-05 -1.423538023445555146e-05 -1.908573703465256218e-05 -1.423538023445555146e-05 2.724488273114034908e-05 2.297806719255922445e-07 2.297806719255921386e-07 2.696661257728340247e-05
5.505000000000000000e+02 4.398681963856889560e-02 2.957129763957796161e-06 -1.157597154535712626e-05 2.957129763957796161e-06 -1.157597154535712626e-05 3.321418443484305322e-05 -6.657274013975154357e-07 -6.657274013975150122e-07 3.261547653258888664e-05
6.005000000000000000e+02 5.312555682786285899e-02 1.038052931828438773e-06 -5.891372960271212535e-06 1.038052931828438773e-06 -5.891372960271212535e-06 3.917280737775290087e-05 -4.044346869180659580e-07 -4.044346869180663815e-07 3.955346665156738952e-05
6.505000000000000000e+02 6.125806927171018740e-02 4.444538604647509497e-06 1.777737372222714502e-05 4.444538604647509497e-06 1.777737372222714502e-05 4.583602915977728741e-05 -1.790620633169405738e-07 -1.790620633169400974e-07 4.600514293004668155e-05
7.005000000000000000e+02 7.060642031742564440e-02 -1.775274622136803173e-05 1.394737609866918311e-05 -1.775274622136803173e-05 1.394737609866918311e-05 5.319579844042841241e-05 -8.167452775496229220e-08 -8.167452775496235837e-08 5.336646243014309099e-05
7.505000000000000000e+02 8.135099398303154150e-02 -4.572736149867386826e-05 8.840859357595592255e-06 -4.572736149867386826e-05 8.840859357595592255e-06 6.154370090251279042e-05 -4.262206551491844269e-07 -4.262206551491833152e-07 6.093750420950246087e-05
8.005000000000000000e+02 9.222438706123509133e-02 -1.835673652111089330e-05 -1.083853189748095341e-05 -1.835673652111089330e-05 -1.083853189748095341e-05 7.058356098954119589e-05 -3.494288075564314409e-07 -3.494288075564309115e-07 6.906956693014760173e-05
8.505000000000000000e+02 1.022512153351042147e-01 1.581470591536351852e-05 6.565284382895569573e-06 1.581470591536351852e-05 6.565284382895569573e-06 7.840749412031023009e-05 2.588050050135195378e-08 2.588050050135192070e-08 7.911526125244989398e-05
9.005000000000000000e+02 1.165515538416287411e-01 1.173961266998317773e-05 2.467068770449873410e-05 1.173961266998317773e-05 2.467068770449873410e-05 8.743220593980336331e-05 -1.019899349720813221e-06 -1.019899349720814491e-06 8.707377581991788235e-05
9.505000000000000000e+02 1.285374350130612797e-01 -1.131844430856024890e-05 8.027128807711122885e-06 -1.131844430856024890e-05 8.027128807711122885e-06 9.712198405557878416e-05 7.921031947843276785e-07 7.921031947843291608e-07 9.746915974281028614e-05
1.000500000000000000e+03 1.432559488778005485e-01 -1.150802588008761586e-05 -2.497792288054997357e-05 -1.150802588008761586e-05 -2.497792288054997357e-05 1.090088835603072998e-04 7.510949336260231372e-08 7.510949336259801238e-08 1.083198344106645907e-04
1.050500000000000000e+03 1.580865042993723213e-01 2.152749485793223219e-05 -1.477193271635389085e-05 2.152749485793223219e-05 -1.477193271635389085e-05 1.188251247734602151e-04 7.390307811811390496e-07 7.390307811811391555e-07 1.208805789978984895e-04
1.100500000000000000e+03 1.722839269083589198e-01 1.877277442196237801e-05 -1.416271848279437700e-05 1.877277442196237801e-05 -1.416271848279437700e-05 1.312763053772826735e-04 9.817689833903156402e-07 9.817689833903158519e-07 1.285569807497132064e-04
1.150500000000000000e+03 1.861847510918157866e-01 -2.143388675300801760e-05 2.608881207429901232e-05 -2.143388675300801760e-05 2.608881207429901232e-05 1.441579663476710545e-04 -1.529378272975828627e-06 -1.529378272975829051e-06 1.420784532421717576e-04
1.200500000000000000e+03 2.058685262525614956e-01 -2.393395643162063874e-05 -8.304545400993160751e-06 -2.393395643162063874e-05 -8.304545400993160751e-06 1.546605753271540408e-04 -1.446611156703650458e-06 -1.446611156703651094e-06 1.546543947819144617e-04
1.250500000000000000e+03 2.234571370714792948e-01 3.180298919413580800e-05 2.442182643646416672e-05 3.180298919413580800e-05 2.442182643646416672e-05 1.705893249373343799e-04 2.007169824292127148e-07 2.007169824292128736e-07 1.695861087095510984e-04
1.300500000000000000e+03 2.434711356295290452e-01 -4.676269860850037157e-05 -2.050787709962090800e-05 -4.676269860850037157e-05 -2.050787709962090800e-05 1.823289387426168639e-04 2.243466387561051682e-06 2.243466387561049565e-06 1.821985226252385566e-04
1.350500000000000000e+03 2.618392070266796767e-01 -3.750805313734369444e-05 4.404564289759207838e-05 -3.750805313734369444e-05 4.404564289759207838e-05 1.957542917944099742e-04 3.548594306442567611e-06 3.548594306442570152e-06 1.965953483613474293e-04
1.400500000000000000e+03 2.861747037547231476e-01 8.206355778952796230e-06 7.654029379232124997e-05 8.206355778952796230e-06 7.654029379232124997e-05 2.125432491132880908e-04 1.475562665195850420e-06 1.475562665195852326e-06 2.136379111675218055e-04
1.450500000000000000e+03 3.003204621322156376e-01 -2.933038341200387599e-05 -1.314591512276534700e-05 -2.933038341200387599e-05 -1.314591512276534700e-05 2.270647625303584289e-04 -6.104998723333909831e-07 -6.104998723333934183e-07 2.275336976595945424e-04
1.500500000000000000e+03 3.244084331850697889e-01 9.101721519989064551e-06 8.952383351521164779e-05 9.101721519989064551e-06 8.952383351521164779e-05 2.407783131200589655e-04 2.621331223065924651e-06 2.621331223065925498e-06 2.398148557511941680e-04
1.550500000000000000e+03 3.415719442655940075e-01 -1.746626607612915911e-05 -4.414723651720877496e-05 -1.746626607612915911e-05 -4.414723651720877496e-05 2.595936783086241328e-04 5.552073318847987709e-07 5.552073318847998297e-07 2.619948177453885877e-04
1.600500000000000000e+03 3.707274746955780409e-01 -4.224443557648228302e-05 6.313247497522885758e-05 -4.224443557648228302e-05 6.313247497522885758e-05 2.792674854215949909e-04 7.673092643961590931e-07 7.673092643961609989e-07 2.782373212434619794e-04
1.650500000000000000e+03 3.961900409422733360e-01 1.627330218750218223e-05 5.670011064680141615e-05 1.627330218750218223e-05 5.670011064680141615e-05 2.935953892841798260e-04 7.407263037299022392e-07 7.407263037299042509e-07 2.950073439227867507e-04
