# l Dl_TT Dl_TE Dl_TB Dl_ET Dl_BT Dl_EE Dl_EB Dl_BE Dl_BB
6.350000000000000000e+01 6.357465878525077416e-04 1.449072452314974625e-04 -6.703979098837353442e-05 1.449072452314974625e-04 -6.703979098837353442e-05 2.522352135107354724e-04 9.183388902683082739e-06 9.183388902683081045e-06 1.520058770700846696e-04
1.505000000000000000e+02 2.543515166319321045e-04 1.686474359866755815e-05 -1.673398199868656374e-05 1.686474359866755815e-05 -1.673398199868656374e-05 6.508195781310436526e-05 -2.150740237843843670e-08 -2.150740237844099434e-08 4.525310246982809583e-05
2.005000000000000000e+02 2.013432529865193880e-04 5.308584606212240773e-06 -3.360389040406866024e-06 5.308584606212240773e-06 -3.360389040406866024e-06 5.023645254424361330e-05 -4.224263214854652129e-06 -4.224263214854651282e-06 2.847693832115524127e-05
2.505000000000000000e+02 1.654104618259525381e-04 1.796785789970383463e-05 -3.364464678413446650e-06 1.796785789970383463e-05 -3.364464678413446650e-06 3.984828216421072001e-05 -2.709587996251017726e-06 -2.709587996251016456e-06 2.207627493033898617e-05
3.005000000000000000e+02 1.416982962163358271e-04 7.856059615288692318e-06 1.741821733462165859e-05 7.856059615288692318e-06 1.741821733462165859e-05 3.731580239342083554e-05 -6.005978649298357106e-07 -6.005978649298336989e-07 1.748732150175346314e-05
3.505000000000000000e+02 1.235517239199239350e-04 2.030622625458621225e-06 1.069114526491688425e-05 2.030622625458621225e-06 1.069114526491688425e-05 2.523509051872947634e-05 -1.532494342734052048e-06 -1.532494342734047389e-06 1.506214655174223565e-05
4.005000000000000000e+02 9.460527972684118405e-05 7.882892808200630457e-06 2.199581890707486208e-06 7.882892808200630457e-06 2.199581890707486208e-06 2.073025897013730615e-05 3.409244693232315863e-06 3.409244693232310781e-06 1.655098407195307463e-05
4.505000000000000000e+02 1.108691819996615287e-04 5.503466535234834972e-07 2.211687619519704707e-06 5.503466535234834972e-07 2.211687619519704707e-06 2.317993929271313779e-05 -1.483097803478807830e-06 -1.483097803478808042e-06 1.013087816203672993e-05
5.005000000000000000e+02 9.299292636117656289e-05 7.871142840265667103e-06 1.056003001290253323e-06 7.871142840265667103e-06 1.056003001290253323e-06 1.589722969226627894e-05 2.074152174839840710e-06 2.074152174839839016e-06 1.108373954425510658e-05
5.505000000000000000e+02 9.143684257286610216e-05 6.974987608495709167e-06 -4.210995928411430055e-08 6.974987608495709167e-06 -4.210995928411430055e-08 1.929782559820927560e-05 -1.481690550174014831e-06 -1.481690550174014196e-06 8.175641009506043019e-06
6.005000000000000000e+02 8.939787194114122220e-05 -9.846529857219317342e-08 2.806956143631993961e-06 -9.846529857219317342e-08 2.806956143631993961e-06 1.721552200410599384e-05 -6.368707581508056480e-07 -6.368707581508054362e-07 1.022456010179773850e-05
6.505000000000000000e+02 8.781342640319096226e-05 2.521168585784684512e-06 -1.225815339131262824e-06 2.521168585784684512e-06 -1.225815339131262824e-06 1.669430017178020318e-05 2.892084440784748040e-08 2.892084440784650764e-08 1.071095572921561758e-05
7.005000000000000000e+02 9.059985777656084493e-05 3.825261864296719216e-06 2.614583786044433839e-06 3.825261864296719216e-06 2.614583786044433839e-06 1.761829599981949330e-05 -6.255852551467222779e-07 -6.255852551467216426e-07 1.196828917657594763e-05
7.505000000000000000e+02 8.372178602797920280e-05 3.266294786542434716e-06 -1.150937952511085377e-06 3.266294786542434716e-06 -1.150937952511085377e-06 1.782806970299942098e-05 1.385716534499964344e-07 1.385716534499963285e-07 1.179867190817770450e-05
8.005000000000000000e+02 8.034716859480040105e-05 2.452936410216724808e-06 -2.385886368281582437e-07 2.452936410216724808e-06 -2.385886368281582437e-07 1.590519895228007335e-05 -3.820313766286781789e-07 -3.820313766286784436e-07 9.891364706868580986e-06
8.505000000000000000e+02 7.590792738680756930e-05 2.794298673224094668e-06 -1.481751243062839256e-07 2.794298673224094668e-06 -1.481751243062839256e-07 1.495448134610591937e-05 -3.380245456135434994e-08 -3.380245456135416465e-08 9.839250800533275222e-06
9.005000000000000000e+02 7.386521201477656937e-05 2.007708546541505770e-06 -5.352627971594246485e-07 2.007708546541505770e-06 -5.352627971594246485e-07 1.388285488212358901e-05 -4.314840152519057481e-07 -4.314840152519057481e-07 9.795862944012151465e-06
9.505000000000000000e+02 7.074348164513761552e-05 2.850113875597655936e-06 -9.184659372510628123e-08 2.850113875597655936e-06 -9.184659372510628123e-08 1.359639022369877398e-05 -1.878949013994893129e-07 -1.878949013994891012e-07 9.042061976380635780e-06
1.000500000000000000e+03 7.000035728512969831e-05 3.179264567306861506e-06 6.935056123915618497e-08 3.179264567306861506e-06 6.935056123915618497e-08 1.291956683823631301e-05 2.291537265666789719e-08 2.291537265666787402e-08 8.793777201090479396e-06
1.050500000000000000e+03 6.593605341134246064e-05 3.407929531520153288e-06 5.736092169754772095e-07 3.407929531520153288e-06 5.736092169754772095e-07 1.266376719630103445e-05 -2.239812227783442235e-07 -2.239812227783441706e-07 7.943720797003243941e-06
1.100500000000000000e+03 6.397351563377896649e-05 2.320274071610382644e-06 1.016882066634941523e-07 2.320274071610382644e-06 1.016882066634941523e-07 1.223181310141586895e-05 -1.251945721087565948e-08 -1.251945721087574882e-08 7.710618249496049541e-06
