# 90GHz bandpass
# Sky corrected (nu^4)
# Appropriate for science analysis
# Copied from /sptlocal/analysis/fts/pole_fts_2019_results/bandpass_90ghz.txt
# freq spectrum
66.0380379098 -0.0143157215732
68.0391905738 0.00590283845219
70.0403432377 0.0310172526357
72.0414959016 0.0523160275226
74.0426485656 0.105543611029
76.0438012295 0.245371435976
78.0449538934 0.45538611939
80.0461065574 0.659088318207
82.0472592213 0.771913600668
84.0484118852 0.777023391744
86.0495645492 0.738602713484
88.0507172131 0.727707864815
90.051869877 0.773590573086
92.053022541 0.830147262637
94.0541752049 0.850674460597
96.0553278689 0.876908906853
98.0564805328 0.947165169142
100.057633197 1.0
102.058785861 0.942418929501
104.059938525 0.784214983875
106.061091189 0.611759506124
108.062243852 0.451145476686
110.063396516 0.288337597546
112.06454918 0.152645100826
114.065701844 0.0786112772439
116.066854508 0.0509428413846
118.068007172 0.0339015205898
120.069159836 0.0170806096866
122.0703125 0.0075186782574
124.071465164 0.00499880221207
