# ell	Cl_98	err_98	Cl_98x150	err_98x150	Cl_150x98	err_150x98	Cl_150	err_150
350.5	4.420403e-03	4.417720e-04	4.368139e-03	3.939381e-04	3.139084e-03	6.196058e-04	3.976970e-03	5.475415e-04
400.5	-3.052462e-04	2.753610e-04	-1.575267e-04	2.547655e-04	-6.249366e-04	4.074555e-04	-7.538651e-04	3.848129e-04
450.5	-2.199107e-03	2.122058e-04	-2.007520e-03	1.812733e-04	-2.345402e-03	2.902152e-04	-1.908685e-03	2.504767e-04
500.5	-1.256392e-03	1.502993e-04	-1.207785e-03	1.312287e-04	-1.259996e-03	2.004070e-04	-1.129120e-03	1.786715e-04
550.5	5.410304e-05	1.230619e-04	1.718493e-06	1.024730e-04	7.730885e-05	1.614447e-04	1.118824e-04	1.380857e-04
600.5	4.152581e-04	1.063639e-04	5.504849e-04	9.084494e-05	3.976601e-04	1.406352e-04	3.819935e-04	1.160297e-04
650.5	-3.936925e-04	9.194100e-05	-4.076316e-04	8.290976e-05	-3.239478e-04	1.182946e-04	-3.738724e-04	1.066594e-04
700.5	-1.197764e-03	8.789561e-05	-1.298589e-03	7.378074e-05	-1.214555e-03	1.049332e-04	-1.392339e-03	9.315629e-05
750.5	-1.459918e-03	7.785752e-05	-1.455342e-03	6.185118e-05	-1.420423e-03	8.885547e-05	-1.432805e-03	7.352914e-05
800.5	-8.762272e-04	6.149277e-05	-8.601826e-04	4.835968e-05	-8.421615e-04	6.767836e-05	-8.781641e-04	5.594313e-05
850.5	6.517943e-05	5.169270e-05	2.339377e-05	4.134408e-05	6.855042e-05	6.237960e-05	5.331919e-05	4.694602e-05
900.5	4.540931e-04	4.554762e-05	4.396631e-04	3.742442e-05	4.747818e-04	5.281988e-05	4.298149e-04	4.171830e-05
950.5	2.733681e-04	3.904425e-05	2.392640e-04	3.129793e-05	2.567724e-04	4.561966e-05	2.441699e-04	3.579403e-05
1000.5	-1.876414e-04	3.287769e-05	-1.845556e-04	2.762072e-05	-1.645553e-04	3.937223e-05	-1.883119e-04	3.250392e-05
1050.5	-3.803690e-04	2.940277e-05	-3.902964e-04	2.481377e-05	-3.897520e-04	3.398715e-05	-4.222493e-04	2.812120e-05
1100.5	-3.612327e-04	2.598716e-05	-3.650337e-04	2.090581e-05	-3.599538e-04	3.012958e-05	-3.541583e-04	2.333866e-05
1150.5	-1.384704e-04	2.350730e-05	-1.111961e-04	1.776002e-05	-1.359304e-04	2.718587e-05	-1.210697e-04	1.957396e-05
1200.5	1.523324e-05	2.044048e-05	-2.015052e-06	1.612322e-05	4.669240e-06	2.354758e-05	-1.316662e-05	1.871691e-05
1250.5	-2.759200e-05	1.913496e-05	-1.558554e-06	1.493113e-05	-1.302954e-05	2.215389e-05	1.531419e-05	1.709093e-05
1300.5	-1.463664e-04	1.660376e-05	-1.320873e-04	1.247261e-05	-1.294748e-04	1.905980e-05	-1.301239e-04	1.508762e-05
1350.5	-1.870484e-04	1.569856e-05	-2.073871e-04	1.250248e-05	-1.859949e-04	1.713407e-05	-1.929239e-04	1.410859e-05
1400.5	-1.953570e-04	1.466749e-05	-1.717637e-04	1.126024e-05	-2.030347e-04	1.613553e-05	-1.820469e-04	1.280760e-05
1450.5	-9.543323e-05	1.330871e-05	-6.265928e-05	1.002572e-05	-1.077108e-04	1.439853e-05	-5.783177e-05	1.111833e-05
1500.5	7.182364e-06	1.231454e-05	-3.611434e-06	9.058068e-06	-1.124497e-06	1.423947e-05	5.551403e-06	1.026288e-05
1550.5	3.137694e-05	1.083759e-05	1.167681e-05	7.804588e-06	4.265639e-05	1.269320e-05	1.479154e-05	8.794061e-06
1600.5	-2.859190e-05	1.007766e-05	-2.549018e-05	7.365278e-06	-3.663877e-05	1.155628e-05	-2.162139e-05	8.797687e-06
1650.5	-5.415657e-05	9.817566e-06	-5.708154e-05	7.088335e-06	-5.659607e-05	1.062945e-05	-6.141522e-05	8.170823e-06
1700.5	-7.853448e-05	9.159268e-06	-5.756397e-05	6.455403e-06	-6.628591e-05	1.007883e-05	-7.017153e-05	7.445993e-06
1750.5	-3.359657e-05	8.493506e-06	-4.700115e-05	6.090997e-06	-3.267883e-05	9.640654e-06	-4.866052e-05	7.107217e-06
1800.5	-2.112005e-05	7.992582e-06	-1.488410e-05	5.451578e-06	-2.815240e-05	9.365373e-06	-1.230097e-05	6.548379e-06
1850.5	-1.662125e-05	7.702871e-06	1.738198e-06	5.134388e-06	-8.949943e-06	8.708250e-06	-5.928544e-06	5.720804e-06
1900.5	-2.292421e-05	7.046840e-06	-2.076135e-05	4.769121e-06	-3.312337e-05	7.743710e-06	-2.521976e-05	5.690000e-06
1950.5	-2.410550e-05	7.140815e-06	-3.487162e-05	4.394851e-06	-3.432506e-05	7.706832e-06	-3.859789e-05	5.105071e-06
2000.5	-2.300466e-05	6.665655e-06	-2.277292e-05	4.406986e-06	-2.722538e-05	7.230995e-06	-2.754977e-05	4.726921e-06
2075.5	-2.023630e-05	4.270430e-06	-1.140028e-05	2.930696e-06	-1.851040e-05	4.623599e-06	-1.260421e-05	3.059575e-06
2175.5	-4.681673e-06	3.875409e-06	-4.005634e-06	2.532438e-06	-4.334843e-06	3.879094e-06	-2.687801e-06	2.725287e-06
2275.5	-8.590336e-06	3.603412e-06	-9.782328e-06	2.393691e-06	-7.299692e-06	3.836991e-06	-1.507071e-05	2.503617e-06
2375.5	-9.942042e-06	3.646176e-06	-8.930182e-06	2.262526e-06	-1.260831e-05	3.626513e-06	-8.926520e-06	2.319040e-06
2475.5	-9.305217e-06	3.499976e-06	-4.986268e-06	2.330837e-06	-4.908031e-06	3.303249e-06	-2.716025e-06	1.987181e-06
2625.5	-1.494210e-06	2.441339e-06	-3.656075e-06	1.516586e-06	-8.448268e-07	2.037234e-06	-4.039217e-06	1.314724e-06
2825.5	1.637420e-06	2.373483e-06	6.285293e-07	1.383586e-06	-6.338864e-07	1.935676e-06	-1.863843e-06	1.164648e-06
3025.5	-1.517965e-06	2.306119e-06	-3.363837e-06	1.429069e-06	-1.118838e-06	1.718334e-06	-2.873396e-06	1.051180e-06
3325.5	2.801933e-06	1.669163e-06	6.662931e-07	1.009430e-06	1.334606e-06	1.216671e-06	-6.445042e-08	6.549599e-07
