# ell	Cl_98	err_98	Cl_98x150	err_98x150	Cl_150x98	err_150x98	Cl_150	err_150
350.5	3.836522e-03	9.540957e-04	4.367446e-03	8.542182e-04	3.148272e-03	9.254151e-04	3.785346e-03	8.591124e-04
400.5	-2.240932e-04	6.022567e-04	-1.434362e-04	5.641676e-04	-3.328333e-04	6.040360e-04	-4.025714e-04	5.670397e-04
450.5	-2.368139e-03	4.429029e-04	-2.367811e-03	3.806378e-04	-2.444753e-03	4.267619e-04	-2.520343e-03	3.733533e-04
500.5	-1.531809e-03	3.079707e-04	-1.308742e-03	2.522334e-04	-1.320881e-03	2.950853e-04	-1.177858e-03	2.499522e-04
550.5	5.342652e-05	2.293402e-04	1.786577e-04	2.038533e-04	-4.035451e-05	2.314129e-04	1.152671e-04	2.048391e-04
600.5	7.129163e-04	2.394383e-04	7.547507e-04	2.127201e-04	7.024064e-04	2.334341e-04	7.622827e-04	2.092742e-04
650.5	-5.074913e-04	2.182120e-04	-2.892191e-04	1.975425e-04	-5.677215e-04	2.115231e-04	-3.516798e-04	1.934348e-04
700.5	-9.026139e-04	2.042418e-04	-1.031461e-03	1.831466e-04	-8.636061e-04	1.944966e-04	-9.278272e-04	1.799366e-04
750.5	-1.734288e-03	1.791494e-04	-1.583456e-03	1.529299e-04	-1.702214e-03	1.654559e-04	-1.588224e-03	1.470527e-04
800.5	-9.464249e-04	1.288841e-04	-9.037829e-04	1.064114e-04	-8.953986e-04	1.217096e-04	-9.001784e-04	1.033663e-04
850.5	-3.097695e-05	9.986498e-05	-4.823718e-06	8.058871e-05	-4.510110e-05	9.828334e-05	-2.749255e-05	7.953538e-05
900.5	3.404508e-04	8.887406e-05	3.587667e-04	7.760779e-05	3.272490e-04	8.501450e-05	3.558878e-04	7.514519e-05
950.5	3.241607e-04	8.056979e-05	3.736946e-04	6.868529e-05	3.002865e-04	7.653242e-05	3.359429e-04	6.618156e-05
1000.5	-1.356373e-04	6.832909e-05	-1.675623e-04	5.859917e-05	-1.389240e-04	6.584241e-05	-1.542212e-04	5.687721e-05
1050.5	-4.495105e-04	5.964173e-05	-4.050349e-04	4.925282e-05	-4.362834e-04	5.795325e-05	-3.938294e-04	4.775523e-05
1100.5	-4.461727e-04	4.891132e-05	-4.231504e-04	3.809909e-05	-4.458797e-04	4.648841e-05	-4.242725e-04	3.679141e-05
1150.5	-1.581339e-04	4.007453e-05	-1.428567e-04	3.038831e-05	-1.583976e-04	3.822903e-05	-1.412998e-04	2.900889e-05
1200.5	8.578542e-05	3.482252e-05	4.378018e-05	2.584710e-05	1.099718e-04	3.338621e-05	4.616736e-05	2.499999e-05
1250.5	-2.682737e-05	3.199777e-05	-4.304983e-05	2.520634e-05	-2.491986e-05	3.044797e-05	-4.935021e-05	2.409936e-05
